"","AMT","TIME","TFDS","DV"
"828",200,24,0,29.41694368
"829",200,25,1,82.58185226
"830",200,26,2,63.77545481
"831",200,27,3,49.56189947
"832",200,28,4,40.85414602
"833",200,29,5,34.88488583
"834",200,30,0,30.36202072
"835",200,31,1,83.42357244
"836",200,32,2,64.52512163
"837",200,33,3,50.2295802
"838",200,34,4,41.44880696
"839",200,35,5,35.41451266
"840",200,36,0,30.8337258
"841",200,37,1,83.84369028
"842",200,38,2,64.89929398
"843",200,39,3,50.56283182
"844",200,40,4,41.74561307
"845",200,41,5,35.67885908
"846",200,42,0,31.0691624
"847",200,43,1,84.05337875
"848",200,44,2,65.08605023
"849",200,45,3,50.72916379
"850",200,46,4,41.89375442
"851",200,47,5,35.81079919
"852",200,48,0,31.18667311
"853",200,49,1,84.1580381
"854",200,50,2,65.17926368
"855",200,51,3,50.8121831
"856",200,52,4,41.96769447
"857",200,53,5,35.87665291
"858",200,54,0,31.24532485
"859",200,55,1,84.21027549
"860",200,56,2,65.22578822
"861",200,57,3,50.85361956
"862",200,58,4,42.0045993
"863",200,59,5,35.9095217
"864",200,60,0,31.274599
"865",200,61,1,84.23634812
"866",200,62,2,65.24900946
"867",200,63,3,50.87430125
"868",200,64,4,42.02301917
"869",200,65,5,35.92592712
"870",200,66,0,31.28921027
"871",200,67,1,84.24936145
"872",200,68,2,65.26059961
"873",200,69,3,50.88462386
"874",200,70,4,42.03221286
"875",200,71,5,35.93411536
"876",200,72,6,31.29650301
"877",200,0,0,0
"878",200,1,1,202.31620547
"879",200,2,2,159.07273726
"880",200,3,3,109.00854586
"881",200,4,4,81.63334137
"882",200,5,5,66.17970508
"883",200,6,0,56.10967747
"884",200,7,1,250.90598115
"885",200,8,2,201.53760701
"886",200,9,3,146.26112213
"887",200,10,4,114.36303135
"888",200,11,5,94.95285316
"889",200,12,0,81.41046683
"890",200,13,1,273.15545691
"891",200,14,2,221.10443479
"892",200,15,3,163.46897706
"893",200,16,4,129.49638545
"894",200,17,5,108.26182353
"895",200,18,0,93.11499807
"896",200,19,1,283.44897197
